Month,Transaction Count,Total Trx Amount,Avg Trx Amount,Unique ChangeMaker Senders,Unique ChangeMaker Receivers,Unique ServePartner Senders,Unique ServePartner Receivers,Unique ExchangePartner Senders,Unique ExchangePartner Receivers
20-Sep,3,69,23,3,1,0,0,0,2
20-Oct,8,145.14,18.14,5,0,0,0,1,5
20-Nov,1,15,15,1,0,0,0,0,1
20-Dec,7,614.75,87.82,3,1,0,0,1,2
21-Jan,2,70,35,2,0,0,0,0,1
21-Feb,6,817.5,136.25,3,3,0,0,1,2
21-Mar,5,108.1,21.62,4,0,0,0,0,2
21-Apr,3,112.37,37.45,3,0,0,0,0,2
21-May,3,573.74,191.24,1,0,0,0,0,3
21-Jun,4,28.5,7.12,3,3,0,0,0,1
21-Jul,9,224.24,24.91,4,1,0,0,0,4
