Month,Week #,Transaction Count,Total Trx Amount,Avg Trx Amount,Unique ChangeMaker Senders,Unique ChangeMaker Receivers,Unique ServePartner Senders,Unique ServePartner Receivers,Unique ExchangePartner Senders,Unique ExchangePartner Receivers
20-Sep,38,1,52,52,1,1,0,0,0,0
20-Sep,39,2,17,8.5,2,0,0,0,0,2
20-Oct,40,1,2,2,1,0,0,0,0,1
20-Oct,42,1,15,15,1,0,0,0,0,1
20-Oct,43,3,49.64,16.54,2,0,0,0,0,2
20-Oct,44,3,78.5,26.16,2,0,0,0,1,2
20-Nov,45,1,15,15,1,0,0,0,0,1
20-Dec,49,3,526.5,175.5,2,1,0,0,0,1
20-Dec,51,1,28.25,28.25,1,0,0,0,0,1
20-Dec,52,3,60,20,1,0,0,0,1,2
21-Jan,1,2,70,35,2,0,0,0,0,1
21-Feb,5,3,735,245,2,2,0,0,0,1
21-Feb,6,2,52.5,26.25,2,0,0,0,0,1
21-Feb,7,1,30,30,0,1,0,0,1,0
21-Mar,9,2,37.35,18.67,2,0,0,0,0,2
21-Mar,10,2,51.75,25.87,2,0,0,0,0,1
21-Mar,11,1,19,19,1,0,0,0,0,1
21-Apr,13,1,71.25,71.25,1,0,0,0,0,1
21-Apr,14,2,41.12,20.56,2,0,0,0,0,2
21-May,20,2,510,255,1,0,0,0,0,2
21-May,21,1,63.74,63.74,1,0,0,0,0,1
21-Jun,23,1,25.5,25.5,1,0,0,0,0,1
21-Jun,25,3,3,1,2,3,0,0,0,0
21-Jul,27,1,13.89,13.89,1,0,0,0,0,1
21-Jul,28,3,100,33.33,2,0,0,0,0,1
21-Jul,29,2,45.85,22.92,1,0,0,0,0,2
21-Jul,30,3,64.5,21.5,3,1,0,0,0,1
